SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,LineTotal
43659,1,1,776,2024.994000
43659,3,1,778,2024.994000
43659,4,1,771,2039.994000
43659,5,1,772,2039.994000
43659,7,1,774,2039.994000
43661,17,2,747,1429.408600
43661,20,2,742,1445.189800
43661,24,2,741,1637.400000
43662,30,3,764,1258.376700
43662,31,5,770,2097.294500
43662,35,5,762,2097.294500
43662,36,3,765,1258.376700
43662,38,1,753,2146.962000
43662,40,3,763,1258.376700
43662,45,1,749,2146.962000
43662,46,3,760,1258.376700
43662,50,3,766,1258.376700
43664,53,1,772,2039.994000
43664,59,1,773,2039.994000
43664,60,1,778,2024.994000
43665,62,1,773,2039.994000
43665,68,1,778,2024.994000
43665,70,1,776,2024.994000
43666,72,1,753,2146.962000
43667,78,1,773,2039.994000
43667,79,1,778,2024.994000
43667,80,1,775,2024.994000
43668,81,3,756,2624.382000
43668,83,7,760,2936.212300
43668,84,6,765,2516.753400
43668,86,6,730,1103.629200
43668,89,2,754,1749.588000
43668,92,3,755,2624.382000
43668,93,3,761,1258.376700
43668,101,4,732,1427.592000
43668,103,4,762,1677.835600
43668,108,3,733,1070.694000
43668,109,3,763,1258.376700
43670,114,1,776,2024.994000
43671,115,1,753,2146.962000
43671,121,2,755,1749.588000
43672,128,1,774,2039.994000
43674,140,3,758,2624.382000
43675,141,4,761,1677.835600
43675,146,2,758,1749.588000
43677,156,1,753,2146.962000
43677,160,4,760,1677.835600
43678,171,3,762,1258.376700
43678,180,2,758,1749.588000
43680,189,3,760,1258.376700
43680,190,2,756,1749.588000
43680,201,3,765,1258.376700
43681,205,5,762,2097.294500
43681,210,3,770,1258.376700
43681,212,3,758,2624.382000
43681,216,1,753,2146.962000
43682,225,2,758,1749.588000
43683,233,1,774,2039.994000
43683,239,1,772,2039.994000
43684,243,2,754,1749.588000
43684,246,2,758,1749.588000
43685,249,3,765,1258.376700
43686,253,3,758,2624.382000
43688,260,3,762,1258.376700
43688,264,2,754,1749.588000
43688,265,2,758,1749.588000
43688,266,3,765,1258.376700
43689,269,3,764,1258.376700
43689,272,1,753,2146.962000
43689,273,2,755,1749.588000
43689,274,4,766,1677.835600
43689,276,7,760,2936.212300
43689,279,6,763,2516.753400
43689,283,5,765,2097.294500
43689,286,3,758,2624.382000
43692,295,5,770,2097.294500
43692,305,6,762,2516.753400
43692,306,3,732,1070.694000
43692,309,7,760,2936.212300
43692,310,2,755,1749.588000
43692,317,3,761,1258.376700
43693,324,1,773,2039.994000
43693,329,1,774,2039.994000
43693,331,1,772,2039.994000
43693,332,1,778,2024.994000
43694,336,1,772,2039.994000
43694,340,1,774,2039.994000
43695,345,2,748,1445.189800
43843,501,2,742,1445.189800
43843,503,2,748,1445.189800
43844,512,1,778,2024.994000
43848,530,1,773,2039.994000
43848,531,1,778,2024.994000
43848,532,1,775,2024.994000
43849,540,1,773,2039.994000
43849,542,1,772,2039.994000
43850,550,1,753,2146.962000
43850,553,3,758,2624.382000
43850,555,3,732,1070.694000
43851,560,3,770,1258.376700
43851,565,1,753,2146.962000
43852,569,1,776,2024.994000
43853,571,1,773,2039.994000
43853,572,1,771,2039.994000
43854,576,2,758,1749.588000
43855,579,1,753,2146.962000
43855,580,4,761,1677.835600
43855,582,3,762,1258.376700
43856,591,1,777,2024.994000
43857,595,3,758,2624.382000
43857,604,2,754,1749.588000
