SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,LineTotal
43659,8,3,714,86.521200
43659,9,1,716,28.840400
43659,10,6,709,34.200000
43659,11,2,712,10.373000
43659,12,4,711,80.746000
43661,18,4,712,20.746000
43661,23,2,711,40.373000
43661,27,2,716,57.680800
43664,55,1,714,28.840400
43664,56,1,716,28.840400
43665,61,2,711,40.373000
43665,63,1,707,20.186500
43665,64,2,715,57.680800
43665,66,2,712,10.373000
43665,69,6,709,34.200000
43667,77,3,710,17.100000
43668,87,2,707,40.373000
43668,88,2,711,40.373000
43668,90,4,712,20.746000
43668,99,1,716,28.840400
43668,107,1,708,20.186500
43670,111,1,710,5.700000
43670,112,2,709,11.400000
43671,116,2,714,57.680800
43671,123,1,716,28.840400
43671,124,1,711,20.186500
43671,125,1,708,20.186500
43672,126,6,709,34.200000
43673,130,3,715,86.521200
43673,136,1,712,5.186500
43673,137,2,708,40.373000
43673,138,1,711,20.186500
43673,139,4,707,80.746000
43675,144,1,708,20.186500
43675,147,2,712,10.373000
43675,149,3,715,86.521200
43676,152,1,710,5.700000
43676,154,4,709,22.800000
43677,155,3,715,86.521200
43677,159,2,708,40.373000
43677,163,5,712,25.932500
43677,164,1,707,20.186500
43678,173,3,712,15.559500
43678,174,4,708,80.746000
43678,178,1,716,28.840400
43678,181,2,715,57.680800
43678,184,3,711,60.559500
43678,185,1,707,20.186500
43679,188,2,715,57.680800
43680,192,4,707,80.746000
43680,194,1,711,20.186500
43680,195,2,715,57.680800
43680,200,2,708,40.373000
43680,202,3,712,15.559500
43681,207,1,707,20.186500
43681,209,2,708,40.373000
43681,217,2,714,57.680800
43681,221,2,716,57.680800
43681,222,2,711,40.373000
43681,224,2,712,10.373000
43682,229,1,715,28.840400
43683,231,2,715,57.680800
43683,234,1,708,20.186500
43683,235,2,711,40.373000
43683,236,3,712,15.559500
43683,240,3,707,60.559500
43683,242,6,709,34.200000
43690,290,1,715,28.840400
43690,292,2,712,10.373000
43692,304,3,708,60.559500
43692,307,6,712,31.119000
43692,318,3,711,60.559500
43692,321,4,707,80.746000
43693,323,3,716,86.521200
43693,325,6,709,34.200000
43693,326,2,707,40.373000
43693,328,2,708,40.373000
43694,335,2,715,57.680800
43694,337,3,716,86.521200
43694,338,1,707,20.186500
43694,339,1,708,20.186500
43694,342,1,712,5.186500
43695,350,2,709,11.400000
43843,507,2,709,11.400000
43845,514,3,715,86.521200
43845,522,4,712,20.746000
43846,524,1,712,5.186500
43847,527,1,715,28.840400
43847,528,1,712,5.186500
43849,536,1,714,28.840400
43849,539,1,711,20.186500
43849,543,1,707,20.186500
43849,545,1,708,20.186500
43851,559,1,711,20.186500
43851,561,1,707,20.186500
43851,567,1,712,5.186500
43851,568,3,708,60.559500
43856,590,2,709,11.400000
43857,596,1,715,28.840400
43857,597,3,712,15.559500
43857,598,1,716,28.840400
43857,600,2,711,40.373000
